ab0c1f,2025-04-02 21:52:31,OPEN,,
10cfc7,2025-04-02 21:52:39,DOWN,pintando,
003ef5,2025-04-02 21:52:46,QUIT,,
3edc3b,2025-04-03 22:10:10,OPEN,,
b06a22,2025-04-03 22:10:15,DOWN,mumia,
ffab08,2025-04-03 22:10:21,QUIT,,
315ef0,2025-04-03 22:58:38,OPEN,,
c3f819,2025-04-03 22:58:42,DOWN,fuga,
afa9f6,2025-04-03 22:58:48,QUIT,,
b64d86,2025-04-04 16:35:21,OPEN,,
1e70ed,2025-04-04 16:35:24,DOWN,pedra,
815398,2025-04-04 16:35:54,QUIT,,
8fa0bd,2025-04-04 16:37:36,OPEN,,
4185ce,2025-04-04 16:37:45,QUIT,,
